addr,district,road,description,area,room,bath,dinning,obj_type,which_floor,total_floor,mgnt_fee,rent_fee
台中市西屯區福科路,西屯區,福科路,【秒殺正廣】@電梯@陽台@中科首選@超級大空間,10.0,,,,住宅,1,8,1000,9999.0
台中市西屯區文華路,西屯區,文華路,❤短租半年❤逢甲橋光❤共洗獨曬❤採光佳❤子母車❤,10.0,1.0,1.0,,住宅,3,5,1000,5199.0
台中市南區仁義街,南區,仁義街,❤近中興❤陽台獨洗❤衛浴開窗❤機車位❤子母車❤,10.0,1.0,1.0,,車位,3,6,999,6499.0
台中市北區富強街,北區,富強街,稀有可寵◕大空間◕電梯流理臺◕獨洗陽台◕一中台體中國醫,10.12,1.0,1.0,1.0,住宅,3,8,1001,7999.0
台中市西屯區台灣大道三段,西屯區,台灣大道三段,新光百貨✔1樓套房✨洗衣機飲水機,8.9,1.0,1.0,,住宅,1,3,1000,4999.0
台中市西屯區漢口路二段,西屯區,漢口路二段,❧木地板採光宅～全配備❧市政博館❧一眼瞬間,9.13,1.0,1.0,,住宅,3,4,1000,6499.0
台中市北區文化街,北區,文化街,⚡北區⚡電梯套房⚡可貓⚡陽台獨洗,9.0,1.0,1.0,1.0,住宅,4,8,1000,8500.0
台中市北區一中街,北區,一中街,秒殺小資套●電梯免爬●電梯管理員●中科台體一中街,9.0,1.0,1.0,,住宅,6,15,1000,6799.0
台中市北區一中街,北區,一中街,下樓即是一中街⭐️小資⭐️家具齊全,9.0,1.0,1.0,,住宅,11,12,1000,5999.0
台中市西屯區福上巷,西屯區,福上巷,逢甲⭐電梯管理員⭐台電包水⭐子母車⭐獨洗窗曬⭐可寵,9.0,1.0,1.0,,住宅,4,7,1001,5999.0
台中市北區天津路二段,北區,天津路二段,陽台獨洗⭐流理臺⭐衛浴開窗⭐乾溼分離,9.0,1.0,1.0,,住宅,2,6,1000,8000.0
台中市西屯區四川路,西屯區,四川路,小資女孩必看⭐近西區⭐衛浴開窗⭐獨洗曬⭐免管理費⭐,10.25,,,,住宅,2,4,,6600.0
台中市北屯區水湳路,北屯區,水湳路,全新電梯套房陽台獨洗曬‼️雙層冰箱✨衛浴開窗,10.0,,,,住宅,2,5,,12800.0
台中市西區三民路一段,西區,三民路一段,⚡西區⚡電梯套房⚡台水電⚡有流理臺,10.0,1.0,1.0,1.0,住宅,9,12,1000,6000.0
台中市北屯區大連路一段,北屯區,大連路一段,電梯免爬樓⭐台水電荷包省起來⭐獨洗曬⭐大空間⭐來看,10.26,,,,住宅,3,10,500,7900.0
台中市東區練武路,東區,練武路,初見你為你癡迷✨有電梯子母車✨共洗獨曬✨近拉拉破,10.5,1.0,1.0,1.0,住宅,6,7,1000,7500.0
台中市西區金山路,西區,金山路,小姐姐代收包裹✨絕美採光子母車✨共洗獨曬✨免管理費,10.5,1.0,1.0,,住宅,2,7,,7200.0
台中市北區健行路,北區,健行路,小資首選✨健行路✨近中醫獨洗陽台✨機車位子母車✨,10.0,1.0,1.0,,車位,1,5,1000,6199.0
台中市北區衛道路,北區,衛道路,衛道路✨近中醫一中台體✨衛浴開窗✨子母車,10.0,1.0,1.0,,住宅,3,3,1000,5799.0
台中市南屯區保安十街,南屯區,保安十街,嶺東精科全新❤️陽台獨洗乾濕分離❤️可報稅租補戶籍,10.0,1.0,1.0,,住宅,2,5,1001,9999.0
台中市北區陝西東三街,北區,陝西東三街,共洗獨曬⭐飲水機,9.5,1.0,1.0,,住宅,5,8,1000,9000.0
台中市西屯區順和七街,西屯區,順和七街,50歲以上不要⭐陽台獨洗⭐子母車⭐飲水機,9.5,1.0,1.0,,住宅,6,8,1000,9500.0
台中市北區美德街,北區,美德街,⭐超秒殺❤️陽台獨洗❤️電梯透天,10.0,1.0,1.0,,住宅,2,5,1001,6280.0
台中市南區台中路,南區,台中路,興大旁✓五權車站✓陽台獨洗✓機車位✓只有一間✓,10.5,1.0,1.0,,車位,3,6,1000,7999.0
台中市西區林森路,西區,林森路,可寵超稀有⭐獨立陽台⭐採光好⭐子母車⭐飲水機,10.0,,,,住宅,4,5,300,6200.0
台中市北區國強街,北區,國強街,近太原車站♡陽台獨洗曬最乾淨♡衛浴開窗不潮溼,10.5,1.0,1.0,1.0,住宅,3,5,1000,9499.0
台中市北區崇德路一段,北區,崇德路一段,可寵首選✨獨洗獨曬✨子母車✨近一中新民高中,10.0,1.0,1.0,,住宅,4,6,1000,5999.0
台中市北區榮華街,北區,榮華街,中國醫/一中⭐️可寵/衛浴開窗/採光佳,9.0,1.0,1.0,,住宅,2,4,10000,6499.0
台中市西屯區智惠街,西屯區,智惠街,秒殺✨電梯美房✨陽台獨洗✨子母車✨飲水機✨生活便利,10.0,,,,住宅,5,7,1000,7400.0
台中市北屯區中清路二段,北屯區,中清路二段,小資首選✨共洗曬✨系統裝潢✨衛浴開窗,9.5,1.0,1.0,,住宅,1,4,1000,5800.0
台中市南屯區河南路四段,南屯區,河南路四段,❤️近惠文國小❤️台水台電❤️管理員可租補可戶籍,10.0,1.0,1.0,,住宅,4,12,677,8800.0
台中市北區美德街,北區,美德街,中醫科博館⭐陽台獨曬⭐免爬高⭐小資價,9.0,1.0,1.0,,住宅,3,6,1000,5499.0
台中市中區繼光街,中區,繼光街,秒殺限女電梯✅可凸窗曬✅小資首選✅系統櫃,10.0,,,,住宅,6,8,1000,5199.0
台中市北區武昌路,北區,武昌路,可貓小資首選⭐子母車⭐飲水機⭐曉明女中,10.0,,,,住宅,2,5,1000,5000.0
台中市西區建國北路二段,西區,建國北路二段,台中車站✔可寵台水電流理台✔獨立門牌,9.8,1.0,1.0,1.0,住宅,19,24,700,6999.0
台中市西屯區文華路正煌巷,西屯區,文華路正煌巷,太神拉⭐台水電⭐陽台獨洗⭐汽車位⭐機車位,10.2,,,,車位,6,10,,9000.0
台中市西屯區西屯路二段,西屯區,西屯路二段,陽台獨洗●近逢甲商圈●可貓可狗●台水台電●免管理費,9.5,1.0,1.0,,住宅,4,6,,6500.0
台中市東區進德北路,東區,進德北路,系統家具●電梯●近一中街●機車位●超秒殺●陽台獨洗,10.0,1.0,1.0,,車位,5,6,1000,10300.0
台中市東區三賢街,東區,三賢街,近台新醫院❤機車位❤電梯免爬❤獨洗獨曬❤CP超高,10.0,1.0,1.0,,車位,3,5,1000,5500.0
台中市北區榮華街,北區,榮華街,近崇德萬客●共洗衣●包水電(除冷氣)乾溼分離●限女,9.39,1.0,1.0,,住宅,3,4,1000,4999.0
台中市北區學士路,北區,學士路,秒殺近中國醫✅小資首選✅獨洗✅精美裝潢,10.0,,,,住宅,5,6,1000,5299.0
台中市北區青島路二段,北區,青島路二段,北區超新別錯過♡可短租♡免追垃圾車♡採光超好,10.0,1.0,1.0,,住宅,2,5,1000,7999.0
台中市西屯區文華路正煌巷,西屯區,文華路正煌巷,太神啦⭐台水電⭐陽台獨洗⭐汽車位⭐機車位,10.2,,,,車位,5,10,,8000.0
台中市南區忠明南路,南區,忠明南路,⚡南區⚡全新電梯套房⚡可租補報稅⚡陽台獨洗,10.0,1.0,1.0,1.0,住宅,2,6,1000,7800.0
台中市北區北興街,北區,北興街,漢口商圈⭐️陽台/獨洗曬/飲水機,9.0,1.0,1.0,,住宅,4,6,1000,6999.0
台中市北區一中街,北區,一中街,走路到一中⭐️獨洗/家具齊全/管理員,9.0,1.0,1.0,,住宅,3,4,1000,6299.0
台中市西區忠誠街,西區,忠誠街,❤近勤美❤陽台獨曬❤小資首選❤子母車❤,10.0,1.0,1.0,,住宅,3,6,1000,6699.0
台中市北區五義街,北區,五義街,小資獨洗曬～中國一中科大❧學子最愛❧機車位乾濕分離,8.01,1.0,1.0,,車位,4,5,1000,6499.0
台中市北區益華街,北區,益華街,✅秒殺進一中可貓✅陽台獨洗✅衛浴開窗✅室內機車,10.26,,,,住宅,1,4,1000,6799.0
台中市北區瑞祥街,北區,瑞祥街,秒殺✅可貓全新電梯✅大陽台獨洗✅衛浴開窗✅,10.0,,,,住宅,2,6,1000,6999.0
台中市西屯區福星路,西屯區,福星路,電梯不累◕小資首選◕陽台獨曬◕逢甲中科遠百,8.5,,,,住宅,3,7,1000,6499.0
台中市西屯區華夏巷西五弄,西屯區,華夏巷西五弄,❤近逢甲❤採光佳❤小資首選❤衛浴乾濕分離❤子母車❤,10.0,1.0,1.0,,住宅,1,5,1001,6499.0
台中市北區太平路,北區,太平路,❤近一中❤陽台獨洗❤流理臺❤機車位❤子母車❤,10.0,1.0,1.0,,車位,3,7,1000,8799.0
台中市北區崇德路一段,北區,崇德路一段,❤可寵物❤近一中街❤大坪數❤獨洗獨曬❤子母車❤,10.0,1.0,1.0,1.0,住宅,3,6,999,5999.0
台中市南區台中路,南區,台中路,超新電梯◕稀有釋出◕獨洗陽台◕中興大學忠孝大里,9.0,,,,住宅,3,6,1000,6800.0
台中市北區光大街,北區,光大街,❤秒殺❤近一中❤陽台獨曬❤採光佳❤子母車❤,10.0,1.0,1.0,,住宅,3,6,1000,6699.0
台中市北區永興街,北區,永興街,❤秒殺❤近中國醫❤黃金地段❤子母車❤管理員❤,10.0,1.0,1.0,,住宅,5,7,1001,3499.0
台中市北區民權路,北區,民權路,科博館⭐大空間⭐衛浴窗⭐超超低價,9.2,1.0,1.0,,住宅,5,6,1000,4199.0
台中市北區國泰街,北區,國泰街,✓全新陽台獨洗✓系統裝潢✓機車位✓多間可選,10.0,1.0,1.0,,車位,1,6,1000,8999.0
台中市北區青島路二段,北區,青島路二段,可短租❤️共洗曬｜飲水機子母車｜衛浴開窗,9.3,1.0,1.0,,住宅,2,4,1000,7999.0
台中市西屯區華夏巷西五弄,西屯區,華夏巷西五弄,❧管理員～低樓層免爬高❧即刻入住全配備❧逢甲僑光,9.23,1.0,1.0,,住宅,1,5,1000,6499.0
台中市西區三民路一段,西區,三民路一段,方正採光套房5000元,9.5,1.0,1.0,,住宅,19,19,,5000.0
台中市西屯區西安街,西屯區,西安街,衛浴不潮溼✨可貓獨洗曬✨飲水機子母車✨走路逛逢甲,9.5,1.0,1.0,,住宅,3,4,1000,5499.0
台中市北屯區平德路,北屯區,平德路,電梯~陽台獨洗~大樓旁公有停車場,10.0,1.0,1.0,1.0,住宅,4,7,,11000.0
台中市西屯區順和一街,西屯區,順和一街,東海中科全新❤️陽台獨洗❤️分離式冷氣飲水機子母車,10.0,1.0,1.0,,住宅,1,7,1001,8999.0
台中市北區漢口路四段,北區,漢口路四段,挑高陽台套房租8800元,9.67,1.0,1.0,,住宅,6,14,,8800.0
台中市北屯區松明街,北屯區,松明街,可狗狗貓咪♡爬梯2樓運動♡陽台獨洗曬♡免追垃圾車,10.0,1.0,1.0,,住宅,2,5,1000,7999.0
台中市西屯區櫻城三街,西屯區,櫻城三街,台水電管理員可貓狗⭐陽台獨洗⭐子母車,9.5,1.0,1.0,1.0,住宅,3,7,600,10400.0
台中市南區仁義街,南區,仁義街,超秒殺●室內機車位●電梯免爬●免追垃圾車●中興大學,9.5,1.0,1.0,,車位,5,7,1000,7199.0
台中市西屯區上石路,西屯區,上石路,⭐新光遠百⭐爬二樓⭐子母車飲水機⭐巷內安靜,10.0,1.0,1.0,,住宅,2,4,1000,7800.0
台中市西屯區福中十五街,西屯區,福中十五街,秒殺限女●全新系統●中科中榮●東海二校,9.5,1.0,1.0,,住宅,2,5,1000,6999.0
台中市北屯區中清路,北屯區,中清路,秒殺♡近中央公園♡陽台獨洗曬最乾淨♡衛浴乾濕分離,10.0,1.0,1.0,,住宅,2,4,1000,8199.0
台中市東區長福東街,東區,長福東街,❤旱溪夜市❤陽台獨曬❤室內機車位❤子母車❤,10.0,1.0,1.0,,車位,3,7,999,6999.0
台中市北屯區太原路三段,北屯區,太原路三段,小資首選⭐台水電⭐獨洗曬⭐管理員⭐子母車⭐,10.2,,,,住宅,3,10,720,5500.0
台中市北區育樂街,北區,育樂街,一中台體◕全新系統櫃◕沙發陽台◕流理台,10.0,,,,住宅,2,4,500,9500.0
台中市南區忠孝路,南區,忠孝路,中興大學✅共洗共曬✅機車位✅小資首選✅子母車,10.0,1.0,1.0,,車位,3,6,1000,4999.0
台中市西屯區福上巷,西屯區,福上巷,♕電梯♕陽台♕衛浴窗♕可短租♕可補助♕機車位,10.0,1.0,1.0,1.0,車位,2,5,1000,7799.0
台中市北區衛道路,北區,衛道路,小資省錢⭐陽台獨洗⭐近北屯國小⭐電4.5⭐秒殺必看,10.1,1.0,1.0,,住宅,5,6,1000,5999.0
台中市北屯區安順東三街,北屯區,安順東三街,文心捷運✅台水台電✅浴室乾溼分離✅子母車✅大空間,10.0,1.0,1.0,1.0,住宅,4,7,1000,6999.0
台中市西區精美街,西區,精美街,勤美❤可寵物❤獨洗獨曬❤採光佳❤衛浴開窗,10.0,1.0,1.0,1.0,住宅,5,6,1000,5499.0
台中市北屯區軍福十六路,北屯區,軍福十六路,秒殺❤近東山商圈❤電梯精美套房❤乾濕分離❤子母車,10.0,1.0,1.0,,住宅,6,7,1001,6499.0
台中市西屯區至善路,西屯區,至善路,電梯管理員❤木質地❤冬天裡的暖陽❤房東說要降價❤❤,10.0,1.0,1.0,1.0,住宅,9,11,1000,6999.0
台中市中區民族路,中區,民族路,可貓❤可短租❤舒適空間❤獨立洗衣機❤木質地❤,10.0,1.0,1.0,1.0,住宅,4,6,1001,7999.0
台中市西屯區福星路,西屯區,福星路,✌秒殺近逢甲小資優選✌有陽台✌空間大✌多間可選,10.0,,,,住宅,4,8,1000,6499.0
台中市北區太原四街,北區,太原四街,電梯可貓★陽台獨洗★地下機車位★漢口太原中清,10.0,,,,車位,4,7,1000,7999.0
台中市西屯區寧夏西四街,西屯區,寧夏西四街,❤近科博館❤陽台獨洗❤流理臺❤子母車❤採光佳❤,10.0,1.0,1.0,1.0,住宅,5,7,,9000.0
台中市東區進德路,東區,進德路,❤秒殺❤近一中❤陽台獨洗❤大空間❤採光佳❤子母車❤,10.0,1.0,1.0,,住宅,1,6,999,5999.0
台中市北區衛道路,北區,衛道路,❤秒殺❤近中醫❤共洗凸窗獨曬❤小子首選❤子母車❤,10.0,1.0,1.0,,住宅,3,5,1001,5799.0
台中市東區自強街,東區,自強街,大坪數⭐超低價⭐衛浴開窗⭐近一中,9.5,1.0,1.0,,住宅,5,6,1000,5299.0
台中市北屯區僑孝街,北屯區,僑孝街,小資首選✨爬梯二樓✨子母車✨生活便利,9.0,,,,住宅,2,2,1000,6000.0
台中市北區衛道路,北區,衛道路,✌秒殺近一中超便宜✌可凸窗曬✌採光通風佳✌快搶,9.0,,,,住宅,2,4,1000,5799.0
台中市西屯區櫻城五街,西屯區,櫻城五街,逢甲靜巷◕秒殺電梯◕獨洗陽台◕機車位,9.0,,,,車位,3,7,1000,6999.0
台中市北區德化街,北區,德化街,✨養狗必看✨可寵唷✨共洗凸窗曬✨二樓免爬高✨中國醫,10.0,1.0,1.0,,住宅,2,4,1001/月,7999.0
台中市北區文祥街,北區,文祥街,✨電梯✨台電超省錢✨陽台獨洗曬✨乾溼衛浴✨近中國醫,10.0,1.0,1.0,,住宅,5,6,1001/月,10799.0
台中市北屯區天津路四段,北屯區,天津路四段,北屯公園⭐️衛浴開窗⭐️採光佳⭐️子母車⭐️飲水機,10.0,1.0,1.0,,住宅,2,5,1000,6999.0
台中市東區富台街,東區,富台街,✌️秒殺近台體一中可貓✌️可凸窗曬✌️電梯小資,10.0,,,,住宅,5,6,1000,5699.0
台中市北屯區部子路,北屯區,部子路,秒殺❤中台學生首選❤電梯精美套房❤機車位❤子母車❤,10.0,1.0,1.0,,住宅,2,6,1001,4999.0
台中市南區忠孝路,南區,忠孝路,秒殺小資套●陽台獨洗●機車位●中興大新時代台中車站,9.0,1.0,1.0,,車位,2,4,1000,6600.0
台中市北區崇德路一段,北區,崇德路一段,可貓可狗~不加價~獨洗獨曬~中國醫,9.0,1.0,1.0,,住宅,5,6,1000,5999.0
台中市北區崇德路一段,北區,崇德路一段,秒殺可寵小資套●獨洗獨曬●中國醫●運動中心●子母車,9.0,1.0,1.0,,住宅,4,5,1000,5999.0
台中市西屯區惠中路,西屯區,惠中路,新光市政逢甲⭐全新出租⭐獨洗曬⭐搶,9.0,1.0,1.0,,住宅,3,5,1000,5999.0
台中市北屯區軍和街,北屯區,軍和街,秒殺❤學生首選❤精美套房❤機車位❤先搶先贏❤,10.0,1.0,1.0,,住宅,3,6,1001,5799.0
台中市西屯區河南路二段,西屯區,河南路二段,✓走路上課✓室內機車位✓超新完工✓只有一間✓,10.2,1.0,1.0,,車位,2,5,1000,6199.0
台中市北區衛道路,北區,衛道路,秒殺❤短租首選❤電梯可貓套房❤機車位❤獨洗子母車,10.0,1.0,1.0,,住宅,3,6,1001,5499.0
台中市西區日新街,西區,日新街,✔️一中中醫✔️可狗可貓✔️共洗凸窗曬✔️子母車,10.0,1.0,1.0,,住宅,6,7,1000,5499.0
台中市南區忠孝路,南區,忠孝路,中興大⭐陽台獨洗⭐可合租⭐室內G車位,9.5,1.0,1.0,,車位,2,4,1000,6599.0
台中市北區進化路,北區,進化路,❤可貓咪❤一中台體❤獨洗獨曬❤流理臺❤管理員❤,10.0,1.0,1.0,1.0,住宅,6,8,1000,8499.0
台中市西區三民路一段,西區,三民路一段,❤台水台電❤陽台獨洗❤流理臺❤管理員❤子母車❤,10.0,1.0,1.0,,住宅,18,20,1000,7499.0
台中市北區五順街,北區,五順街,秒殺一中❤獨洗曬陽台❤電梯精美套房❤機車位❤子母車,10.0,1.0,1.0,,住宅,7,9,1001,5299.0
台中市北屯區東山路一段,北屯區,東山路一段,電4✓大空間便宜✓好停車✓只有一間✓吃喝方便,10.0,1.0,1.0,,住宅,3,6,1000,6499.0
台中市南區工學二街,南區,工學二街,✨小資看這間✨近僑泰高工✨陽台獨洗曬✨落地採光✨,9.0,1.0,1.0,,住宅,2,4,1001/月,6999.0
台中市北區中清路一段,北區,中清路一段,曉明女中⭐採光佳⭐衛浴窗⭐小資價,9.0,1.0,1.0,,住宅,5,6,1000,5999.0
台中市北區益華街,北區,益華街,✌秒殺近中國醫小資首選✌共用洗衣機✌乾溼分離,10.0,,,,住宅,4,6,1000,5499.0
台中市東區長福東街,東區,長福東街,秒殺❤獨洗曬陽台❤電梯精美套房❤子母車,10.0,1.0,1.0,1.0,住宅,1,9,1001,5799.0
台中市北區忠明二街,北區,忠明二街,秒殺❤獨洗曬❤可貓精美套房❤機車位❤子母車,10.0,1.0,1.0,,住宅,4,5,1001,6999.0
台中市北區一中街,北區,一中街,秒殺超新●電梯免爬●一中商圈中科大●陽台獨洗流理台,9.5,1.0,1.0,,住宅,6,15,1000,6800.0
台中市北屯區北屯路,北屯區,北屯路,✓松竹車站✓陽台獨洗✓只有一間✓搶,10.26,1.0,1.0,,住宅,3,5,1000,7999.0
台中市北區榮華街,北區,榮華街,秒殺❤獨洗曬陽台❤可貓精美套房❤流理台❤子母車,10.0,1.0,1.0,,住宅,4,5,1001,5999.0
台中市北區陜西東一街,北區,陜西東一街,北區❤學生首選❤超級平價秒殺❤木質地板❤沙發,10.0,1.0,1.0,,住宅,5,6,1001,5999.0
台中市北區學士路,北區,學士路,❤近中醫❤獨洗獨曬❤小資首選❤精華地段❤,10.0,1.0,1.0,,住宅,5,6,1000,5299.0
台中市西區五權五街,西區,五權五街,❤超新❤可貓咪❤獨洗獨曬❤浴室乾溼分離❤子母車❤,10.0,1.0,1.0,1.0,住宅,3,5,1000,8499.0
台中市西屯區逢甲路,西屯區,逢甲路,【秒殺正廣】@超精華地帶@沙發@走路去逢甲~~~,10.0,,,,住宅,2,3,1000,6999.0
台中市北區精武路,北區,精武路,一中體大⭐獨洗衣⭐1樓免爬⭐超值價,9.0,1.0,1.0,,住宅,1,5,1000,5999.0
台中市北區文昌東三街,北區,文昌東三街,漢口商圈⭐️陽台⭐️採光佳⭐️飲水機⭐️,9.0,1.0,1.0,,住宅,4,5,1000,5799.0
台中市北區永定一街,北區,永定一街,全新未住~近北平商圈❤稀有可貓❤先搶先贏,10.0,1.0,1.0,,住宅,2,7,1000,12999.0
台中市西區金山路,西區,金山路,管理員收包裹✅小資首選✅教育大學✅美術館✅超強採光,9.5,,,,住宅,2,7,,7500.0
台中市西屯區西屯路二段,西屯區,西屯路二段,逢甲ღ共洗凸窗獨曬ღ小資首選ღ子母車ღ,10.0,1.0,1.0,,住宅,4,6,1000,4999.0
台中市西屯區文華路,西屯區,文華路,逢甲❤共洗獨曬❤採光佳❤小資首選,10.0,1.0,1.0,,住宅,3,5,1000,5299.0
台中市北區尚德街,北區,尚德街,❤中國醫❤陽台獨曬❤小資首選❤大空間❤,10.0,1.0,1.0,,住宅,2,3,1000,5499.0
台中市西屯區西屯路二段,西屯區,西屯路二段,❤逢甲❤獨洗獨曬❤管理員❤浴室乾溼分離❤子母車❤,10.0,1.0,1.0,,住宅,2,7,1000,5999.0
台中市北區尚德街,北區,尚德街,❤近中醫❤可貓狗❤陽台獨洗❤大空間❤採光佳❤,10.0,1.0,1.0,,住宅,3,6,1000,5499.0
台中市西屯區文心路三段,西屯區,文心路三段,可寵全新正一房一廳超多系統櫃有儲藏室秒殺,21.0,1.0,1.0,1.0,整層住家,3,4,"1,501元/月",19999.0
台中市西屯區順和一街,西屯區,順和一街,❤秒殺❤中科首選❤全新樓中樓,10.0,1.0,1.0,1.0,整層住家,3,5,"1,500元/月",11999.0
台中市西屯區逢甲路,西屯區,逢甲路,❤近逢甲❤大空間❤乾溼分離❤小資首選❤子母車❤,10.0,1.0,1.0,,住宅,3,6,1000,5999.0
台中市南屯區大聖街,南屯區,大聖街,可貓2房全配🐱無敵大坪數🐱可朋友合租,25.0,2.0,1.0,2.0,整層住家,3,8,"2,000元/月",18000.0
台中市北區五常街43巷,北區,五常街,近中國醫❤️二房一聽＃可貓狗＃全新未入住,18.0,2.0,1.0,1.0,整層住家,1,2,無,20500.0
台中市西區三民路一段,西區,三民路一段,陽台套房租5000,9.0,,1.0,,住宅,14,19,672,5000.0
台中市北區雙十路二段,北區,雙十路二段,可貓超美電梯2房🐱新年在新家喵喵叫,22.0,2.0,1.0,1.0,整層住家,3,17,"2,000元/月",15000.0
台中市北屯區大連路一段,北屯區,大連路一段,⚽全新套房/大空間/類一房一廳⚽,8.0,1.0,1.0,0.0,獨立套房,5,10,"1,500元/月",12000.0
台中市北區陜西路,北區,陜西路,含管❤電梯❤陽台獨洗❤流理台❤木質地❤雙層冰箱,10.0,1.0,1.0,1.0,住宅,8,9,1000,7900.0
台中市北屯區太祥路,北屯區,太祥路,秒殺中台❤獨曬陽台❤電梯精美套房❤機車位❤子母車,10.0,1.0,1.0,,住宅,2,6,1001,4999.0
台中市西屯區福星路,西屯區,福星路,便宜啦大家都可以租/陽台獨曬啦/逢甲走路就到,10.0,1.0,1.0,,住宅,3,5,1000,2499.0
台中市北區北屯路,北區,北屯路,親親戲院旁秒殺電梯陽台獨洗獨曬大套房,6.0,1.0,1.0,1.0,住宅,7,8,200/月,8000.0
台中市北屯區軍福十六路,北屯區,軍福十六路,秒❧新～採光美宅～大面窗❧乾濕分離❧慈濟74環線,8.0,1.0,1.0,,住宅,5,6,1000,6499.0
台中市北區美德街,北區,美德街,美德街❤️共洗陽台曬~飲水機含網路第四台❤️,8.0,1.0,1.0,,住宅,3,5,1000,5499.0
台中市西屯區順和七街,西屯區,順和七街,全新未住⭐️變頻冷氣⭐️陽台獨洗,8.5,1.0,1.0,,住宅,6,9,1000,10000.0
台中市北區一中街,北區,一中街,一中✔CP高電梯✨洗衣機✔飲水機,8.7,1.0,1.0,,住宅,6,12,1000,5499.0
台中市南區台中路,南區,台中路,中車中興大⭐獨洗衣⭐超低價⭐搶,8.0,1.0,1.0,,住宅,1,5,1000,5799.0
台中市東區進德路,東區,進德路,✨免管理費✨運動套房✅精美套房✨採光佳✨陽台,8.0,1.0,1.0,,住宅,5,6,,5000.0
台中市東區進德路,東區,進德路,✨精美套房❤小資福音❤中科中國醫學生首選❤✨,8.0,1.0,1.0,,住宅,1,6,1001,4999.0
台中市東區大勇街,東區,大勇街,秒殺小資首選♡電梯管理員♡獨洗窗曬最方便♡子母車,10.0,1.0,1.0,,住宅,8,10,1000,5999.0
台中市西區日新街,西區,日新街,秒殺✨小資首選✨✨飲水機✨子母車✨生活便利,7.0,,,,住宅,1,3,,5100.0
台中市北屯區軍福十六路,北屯區,軍福十六路,電4（夏季5）⭐️乾溼分離⭐️子母車⭐️飲水機,6.5,1.0,1.0,,住宅,5,8,1000,6500.0
台中市西區三民路一段,西區,三民路一段,台水台電⭐流理臺⭐子母車⭐管理員,7.5,1.0,1.0,,住宅,9,12,1000,6000.0
台中市西區篤行路,西區,篤行路,篤行路✔洗衣機✔飲水機✔子母車,7.8,1.0,1.0,,住宅,1,3,1000,4999.0
台中市北屯區太祥路,北屯區,太祥路,秒殺小資套●電梯管理員●室內機車位●陽台獨曬●中台,8.5,1.0,1.0,,車位,2,10,1000,4999.0
台中市東區福仁街,東區,福仁街,可寵⭐電梯⭐子母車⭐機車好停⭐精緻窮⭐超值⭐一中⭐,8.12,,,,住宅,3,6,500,6000.0
台中市西屯區福安二街,西屯區,福安二街,⭐世貿澄清⭐飲水機子母車⭐巷弄安靜⭐超便宜小套,8.0,1.0,1.0,,住宅,2,4,1000,5700.0
台中市西屯區櫻城五街,西屯區,櫻城五街,超強秒殺、電梯美屋、陽台獨洗曬、採光佳、小資快搶,8.0,1.0,1.0,1.0,住宅,6,6,1000,6999.0
台中市北區三民路三段,北區,三民路三段,秒殺●台水台電●電梯管理員●免追垃圾●獨洗曬機車位,8.5,1.0,1.0,,車位,4,8,1000,5999.0
台中市西區民權路,西區,民權路,秒殺限女小資套●電梯免爬●免追垃圾車●火車站中興大,8.5,1.0,1.0,,住宅,6,7,1000,5199.0
台中市西屯區石平街,西屯區,石平街,西屯區⚡秒殺電梯套房⚡陽台獨洗,10.0,1.0,1.0,1.0,住宅,3,5,1000,8500.0
台中市西區三民路一段,西區,三民路一段,平價套房租4800元,8.8,1.0,1.0,,住宅,8,19,572,4800.0
台中市北區太平路,北區,太平路,可寵⭐管理員⭐室內機車位⭐小資戰鬥套房⭐存錢必看,8.12,,,,住宅,5,6,300,4000.0
台中市東區練武路,東區,練武路,北屯區♡陽光好到沒話說♡免追垃圾車,9.0,1.0,1.0,,住宅,6,7,1000,7499.0
台中市北區民權路,北區,民權路,❤美式套房❤公共廚房❤子母車❤一中夜市,9.0,1.0,1.0,,住宅,1,4,1000,6799.0
台中市北區大德街,北區,大德街,中國醫⭐全新整理⭐衛浴窗⭐超低價,8.2,1.0,1.0,,住宅,6,6,1000,4999.0
台中市北區三民路三段,北區,三民路三段,可貓寵⭐免爬高⭐走路一中,9.0,1.0,1.0,,住宅,3,5,1000,6499.0
台中市北區英士路,北區,英士路,可貓咪⭐陽台獨洗⭐衛浴窗⭐小資價,9.5,1.0,1.0,,住宅,5,6,1000,6199.0
台中市北區自由路二段,北區,自由路二段,可寵✔️獨洗曬✔️台水台電✔️電梯大樓✔️,10.0,1.0,1.0,,住宅,5,10,999,7999.0
台中市北屯區景賢路,北屯區,景賢路,秒殺小資套●限女●電梯免爬●免追垃圾車●電費超級省,8.0,1.0,1.0,,住宅,4,6,,5499.0
台中市北區三民路三段,北區,三民路三段,近中科大台體✨電梯套房✨子母車✨管理員✨飲水機,8.0,,,,住宅,3,11,500,6500.0
台中市西屯區西屯路二段,西屯區,西屯路二段,超便宜可貓◕大空間◕陽台獨洗◕逢甲僑光新光遠百,8.0,,,,住宅,1,5,1000,4999.0
台中市西區中華路一段,西區,中華路一段,精美陽台套房,9.0,1.0,1.0,,住宅,12,22,700,5500.0
台中市西屯區長安路二段,西屯區,長安路二段,水湳市場❤️三樓陽台套房❤️飲水機✔️子母車,9.0,1.0,1.0,,住宅,3,4,1000,4999.0
